ordine;item_padre;descrizione_padre;item_figlio;descrizione_figlio;qta_richiesta_pezzo;unita_misura;scrap_factor;qta_completata;qta_prelevata;quantita_richiesta
453752;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;104123,00000;689,02952;940,55555
453752;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;104123,00000;252,75422;940,55555
453752;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;104123,00000;941,78374;940,55555
453752;10084085;FONDO FILTRO HYGROBAC'S PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,00018;KG;1,07000;104123,00000;20,23888;20,05409
453753;10084085;FONDO FILTRO HYGROBAC'S PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,00018;KG;1,07000;252011,00000;48,63814;48,53732
453753;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;252011,00000;999,51224;2276,44560
453753;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;252011,00000;1332,84957;2276,44560
453753;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;252011,00000;2332,36181;2276,44560
453754;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;254133,00000;1059,69751;2295,61388
453754;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;254133,00000;1292,45150;2295,61388
453754;10084085;FONDO FILTRO HYGROBAC'S PP;10066414;PP RF365MO BOREALIS;0,008856;KG;1,02000;254133,00000;2352,14901;2295,61388
453754;10084085;FONDO FILTRO HYGROBAC'S PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,00018;KG;1,07000;254133,00000;49,05076;48,94602
453755;10004101;COPERCHIO BARR.S/HYGR.S IN PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,000159;KG;1,06000;310388,00000;50,25673;52,31279
453755;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;310388,00000;2241,28768;2474,82906
453755;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;310388,00000;2535,55957;2474,82906
453755;10004101;COPERCHIO BARR.S/HYGR.S IN PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,000159;KG;1,06000;310388,00000;2,19886;52,31279
453755;10004101;COPERCHIO BARR.S/HYGR.S IN PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,000159;KG;1,06000;310388,00000;52,45559;52,31279
453755;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;310388,00000;294,27189;2474,82906
453756;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;152366,00000;1142,28783;1214,86592
453756;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;152366,00000;1241,78290;1214,86592
453756;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;152366,00000;99,49507;1214,86592
453756;10004101;COPERCHIO BARR.S/HYGR.S IN PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,000159;KG;1,06000;152366,00000;25,75572;25,67977
453802;3394;FONDO FILTRO STERIVENT;1421;RIFRASTIR PS VERDE FUME' KE;0,00059;KG;1,08000;46266,00000;25,49470;29,48070
453802;3394;FONDO FILTRO STERIVENT;1210;STYROLUX 656C CRISTALLO;0,019076;KG;1,02750;46266,00000;912,04232;906,84090
453807;10124373;VASCHETTA PP RC ADT;10066414;PP RF365MO BOREALIS;0,01061;KG;1,06000;26403,00000;291,73061;296,94398
453807;10124373;VASCHETTA PP RC ADT;10066414;PP RF365MO BOREALIS;0,01061;KG;1,06000;26403,00000;112,96000;296,94398
453807;10124373;VASCHETTA PP RC ADT;10066414;PP RF365MO BOREALIS;0,01061;KG;1,06000;26403,00000;178,77061;296,94398
453810;10139858;FONDO BBAC PP 22F;10066414;PP RF365MO BOREALIS;0,012119;KG;1,04000;18406,00000;225,00296;231,98481
453810;10139858;FONDO BBAC PP 22F;1448;RIFRATENE PP VERDE KE/2623 2%;0,000247;KG;1,07000;18406,00000;5,29638;4,86452
453814;3067;TAPPO CHIUSURA CATET.ESTENSIB.;PT00053274;RIBLENE FL23I;0,00143;KG;1,02130;213600,00000;312,25750;311,95404
453814;3067;TAPPO CHIUSURA CATET.ESTENSIB.;1432;COLORANTE ARANCIO;0,000028;KG;1,02130;213600,00000;6,20237;6,10819
453815;3071;RACCORDO GIREVOLE X MOUNT 15M;1213;TERLUX 2812 TR (ABS);0,001749;KG;1,04000;65181,00000;112,65742;118,56163
453816;3120;RACC.T.ENDOTR.15F 22M CONN.15M;1055;AM 90 A W 106;0,0124;KG;1,07190;6703,00000;90,02728;89,09333
453904;3264;RACC. ANG.X UMIDIF. F&P MR850;1213;TERLUX 2812 TR (ABS);0,011113;KG;1,06500;6867,00000;77,06147;81,27331
453904;3264;RACC. ANG.X UMIDIF. F&P MR850;1213;TERLUX 2812 TR (ABS);0,011113;KG;1,06500;6867,00000;0,59175;81,27331
453904;3264;RACC. ANG.X UMIDIF. F&P MR850;1426;ABS VERDE FUMEE' KE/1740 3% AT;0,000344;KG;1,03500;6867,00000;2,53870;2,44493
453904;3264;RACC. ANG.X UMIDIF. F&P MR850;1213;TERLUX 2812 TR (ABS);0,011113;KG;1,06500;6867,00000;76,46972;81,27331
453907;3354;COPERCHIO RACCOGLICONDENSA 22M;1210;STYROLUX 656C CRISTALLO;0,016805;KG;1,01830;26939,00000;466,40639;460,99449
453907;3354;COPERCHIO RACCOGLICONDENSA 22M;1438;STYROLUX BATCH EF;0,000343;KG;1,03500;26939,00000;7,27232;9,56348
453909;3355;COPERCHIO RACCOGLICOND. TUBO A;1213;TERLUX 2812 TR (ABS);0,016647;KG;1,06500;8358,00000;128,64447;148,17944
453909;3355;COPERCHIO RACCOGLICOND. TUBO A;1426;ABS VERDE FUMEE' KE/1740 3% AT;0,000528;KG;1,06000;8358,00000;4,73144;4,67781
453910;3388;FONDO FILTRO STERIVENT 'S';1210;STYROLUX 656C CRISTALLO;0,01567;KG;1,03140;51729,00000;847,44571;836,04606
453910;3388;FONDO FILTRO STERIVENT 'S';1421;RIFRASTIR PS VERDE FUME' KE;0,000485;KG;1,08000;51729,00000;23,50056;27,09565
453921;4548;CORPO MASCH.X ANEST.INFANT;1054;AM 22 W 17;0,01379;KG;1,18570;11572,00000;192,53310;189,21149
453922;4549;CORPO MASCH.ANEST. INF.'0'15M;1054;AM 22 W 17;0,010437;KG;1,13800;2681,00000;32,26981;31,84306
453927;4841;VALV.DIGITVENT 12CH TY-CARE AD;1207;SINKRAL PD L 322;0,010814;KG;1,06000;14418,00000;178,34115;165,27123
453927;4841;VALV.DIGITVENT 12CH TY-CARE AD;1429;COLORANTE BIANCO PE/F 10040;0,000221;KG;1,06000;14418,00000;3,64105;3,37756
453928;4843;VALV.DIGITVENT 16CH TY-CARE AD;10104914;MASTER ABS ARANCIO;0,000221;KG;1,06000;15350,00000;3,70728;3,59589
453928;4843;VALV.DIGITVENT 16CH TY-CARE AD;1207;SINKRAL PD L 322;0,010814;KG;1,06000;15350,00000;181,58515;175,95459
453941;3375;FONDO HYGROBOY CON 22M/15F;1421;RIFRASTIR PS VERDE FUME' KE;0,0002;KG;1,08000;56323,00000;13,25900;12,16577
453941;3375;FONDO HYGROBOY CON 22M/15F;1210;STYROLUX 656C CRISTALLO;0,008151;KG;1,02020;56323,00000;475,26774;468,36237
453942;3374;COPERCHIO HYGROBOY 22F/15M;1210;STYROLUX 656C CRISTALLO;0,00894;KG;1,01680;74345,00000;682,96845;675,81032
453942;3374;COPERCHIO HYGROBOY 22F/15M;1421;RIFRASTIR PS VERDE FUME' KE;0,000276;KG;1,08000;74345,00000;19,11659;22,16076
453943;3371;COPERCHIO HYGROBABY 15M FORO;1421;RIFRASTIR PS VERDE FUME' KE;0,000089;KG;1,08000;39386,00000;4,07788;3,78578
453943;3371;COPERCHIO HYGROBABY 15M FORO;1210;STYROLUX 656C CRISTALLO;0,003468;KG;1,02000;39386,00000;140,03337;139,32246
453944;3373;FONDO HYGROBABY CON 15F;1210;STYROLUX 656C CRISTALLO;0,00329;KG;1,03760;38112,00000;130,11436;130,10309
453944;3373;FONDO HYGROBABY CON 15F;1210;STYROLUX 656C CRISTALLO;0,00329;KG;1,03760;38112,00000;0,23898;130,10309
453944;3373;FONDO HYGROBABY CON 15F;1210;STYROLUX 656C CRISTALLO;0,00329;KG;1,03760;38112,00000;130,35334;130,10309
453944;3373;FONDO HYGROBABY CON 15F;1421;RIFRASTIR PS VERDE FUME' KE;0,000081;KG;1,08000;38112,00000;3,62732;3,33404
453945;3375;FONDO HYGROBOY CON 22M/15F;1210;STYROLUX 656C CRISTALLO;0,008151;KG;1,02020;86533,00000;722,88292;719,57816
453945;3375;FONDO HYGROBOY CON 22M/15F;1421;RIFRASTIR PS VERDE FUME' KE;0,0002;KG;1,08000;86533,00000;20,16632;18,69113
453946;3374;COPERCHIO HYGROBOY 22F/15M;1210;STYROLUX 656C CRISTALLO;0,00894;KG;1,01680;16273,00000;136,80775;147,92469
453946;3374;COPERCHIO HYGROBOY 22F/15M;1421;RIFRASTIR PS VERDE FUME' KE;0,000276;KG;1,08000;16273,00000;4,16744;4,85066
453968;3799;INSERT GUEDEL CANNULA SIZE 9 CM;10086274;ERACLENE MP90U;0,001666;KG;1,02000;63910,00000;0,16990;108,60354
453968;3799;INSERT GUEDEL CANNULA SIZE 9 CM;10086274;ERACLENE MP90U;0,001666;KG;1,02000;63910,00000;108,75299;108,60354
453968;3799;INSERT GUEDEL CANNULA SIZE 9 CM;10086274;ERACLENE MP90U;0,001666;KG;1,02000;63910,00000;108,58309;108,60354
453968;3799;INSERT GUEDEL CANNULA SIZE 9 CM;1431;COLORANTE GIALLO CD/791 AT;0,000034;KG;1,01880;63910,00000;2,24035;2,21379
453968;3799;INSERT GUEDEL CANNULA SIZE 9 CM;10091422;ADDITIVANTE ANTI UV SU BASE HDPE;0,000034;KG;1,02000;63910,00000;2,24035;2,21640
453969;3800;INSERT GUEDEL CANNULA SIZE 10 CM;10091422;ADDITIVANTE ANTI UV SU BASE HDPE;0,000044;KG;1,06000;62466,00000;2,87896;2,91341
453969;3800;INSERT GUEDEL CANNULA SIZE 10 CM;1435;COLORANTE ROSSO 41980;0,000044;KG;1,05640;62466,00000;2,75378;2,90352
453969;3800;INSERT GUEDEL CANNULA SIZE 10 CM;10086274;ERACLENE MP90U;0,002104;KG;1,06000;62466,00000;60,66168;139,31417
453969;3800;INSERT GUEDEL CANNULA SIZE 10 CM;10086274;ERACLENE MP90U;0,002104;KG;1,06000;62466,00000;79,09286;139,31417
453969;3800;INSERT GUEDEL CANNULA SIZE 10 CM;10086274;ERACLENE MP90U;0,002104;KG;1,06000;62466,00000;139,75454;139,31417
453970;3797;INSERT GUEDEL CANNULA SIZE 7 CM;10091422;ADDITIVANTE ANTI UV SU BASE HDPE;0,000028;KG;1,04000;22050,00000;0,65323;0,64210
453970;3797;INSERT GUEDEL CANNULA SIZE 7 CM;10086274;ERACLENE MP90U;0,001372;KG;1,04000;22050,00000;32,14318;31,46270
453970;3797;INSERT GUEDEL CANNULA SIZE 7 CM;1429;COLORANTE BIANCO PE/F 10040;0,000028;KG;1,04830;22050,00000;0,65323;0,64722
454042;3357;VASCHETTA RACCOGLICOND. AD.;1210;STYROLUX 656C CRISTALLO;0,012335;KG;1,02580;10505,00000;133,99529;132,92232
454042;3357;VASCHETTA RACCOGLICOND. AD.;1421;RIFRASTIR PS VERDE FUME' KE;0,000303;KG;1,08000;10505,00000;3,72763;3,43766
454047;3360;FONDO FILTRO BARRIERBAC 22F;1421;RIFRASTIR PS VERDE FUME' KE;0,000453;KG;1,16300;13756,00000;5,87939;7,24720
454047;3360;FONDO FILTRO BARRIERBAC 22F;1210;STYROLUX 656C CRISTALLO;0,014644;KG;1,01920;13756,00000;207,63342;205,31057
454051;3285;RACCORDO TIPO Y PER TUBO P;1063;PVC AM 113 W 106;0,01529;KG;1,04980;13382,00000;218,08494;214,80040
454051;3285;RACCORDO TIPO Y PER TUBO P;1063;PVC AM 113 W 106;0,01529;KG;1,04980;13382,00000;205,51701;214,80040
454051;3285;RACCORDO TIPO Y PER TUBO P;1063;PVC AM 113 W 106;0,01529;KG;1,04980;13382,00000;12,56793;214,80040
454052;3291;RAC.Y 22M/15F,TUBO P.CON PRESE;1063;PVC AM 113 W 106;0,01582;KG;1,05410;3266,00000;56,14753;54,46337
454053;3359;CONNETTORE CONO LUER X FILTRI;1421;RIFRASTIR PS VERDE FUME' KE;0,000026;KG;1,08000;142140,00000;4,27371;3,99129
454053;3359;CONNETTORE CONO LUER X FILTRI;1221;K-RESIN KR 03;0,0009;KG;1,02280;142140,00000;131,20290;130,84271
454054;10124375;MEMBRANA IN MEGOL PER RC;1439;MASTER AZZURRO 62210;0,00012;KG;1,05000;50061,00000;6,23652;6,30769
454054;10124375;MEMBRANA IN MEGOL PER RC;10130212;MDP 2894/60FC;0,005894;KG;1,29000;50061,00000;395,55126;380,62680
454055;10141356;RACCORDO 22FLEX TUBO ADT;10004900;FMA 698 N V055 VA;0,01636;KG;1,02720;71365,00000;1219,69063;1199,28825
454057;3873;RACCORDO DRITTO X TUBO NEON.;1063;PVC AM 113 W 106;0,0055;KG;1,05480;2723,00000;16,14998;15,79721
454058;4360;RACCORDO TUBO 'P' CON SEDE;1426;ABS VERDE FUMEE' KE/1740 3% AT;0,00003;KG;1,03500;7550,00000;0,23183;0,23443
454058;4360;RACCORDO TUBO 'P' CON SEDE;1213;TERLUX 2812 TR (ABS);0,000965;KG;1,06500;7550,00000;7,79310;7,75932
454063;3395;COPERCHIO FILTRO STERIVENT,;1421;RIFRASTIR PS VERDE FUME' KE;0,000264;KG;1,08000;19073,00000;5,88913;5,43809
454063;3395;COPERCHIO FILTRO STERIVENT,;1210;STYROLUX 656C CRISTALLO;0,010736;KG;1,01500;19073,00000;205,68710;207,83924
454064;3362;COPERCHIO FILTRO STERIVENT 22F;1210;STYROLUX 656C CRISTALLO;0,010213;KG;1,02680;17015,00000;179,33860;178,43134
454064;3362;COPERCHIO FILTRO STERIVENT 22F;1421;RIFRASTIR PS VERDE FUME' KE;0,000252;KG;1,08000;17015,00000;5,05838;4,63080
454065;PT00071262;COPERCHIO FILTRO STERIVENT CLEAR 22F;1210;STYROLUX 656C CRISTALLO;0,011124;KG;1,07000;19503,00000;206,65595;232,13797
454065;PT00071262;COPERCHIO FILTRO STERIVENT CLEAR 22F;1438;STYROLUX BATCH EF;0,000233;KG;1,07000;19503,00000;4,87747;4,86229
454066;10139855;COPERCHIO HBAC PP 22M/15F;10066414;PP RF365MO BOREALIS;0,01329;KG;1,07000;91867,00000;1310,33708;1306,37630
454066;10139855;COPERCHIO HBAC PP 22M/15F;10066414;PP RF365MO BOREALIS;0,01329;KG;1,07000;91867,00000;403,91162;1306,37630
454066;10139855;COPERCHIO HBAC PP 22M/15F;10066414;PP RF365MO BOREALIS;0,01329;KG;1,07000;91867,00000;703,93266;1306,37630
454066;10139855;COPERCHIO HBAC PP 22M/15F;10066414;PP RF365MO BOREALIS;0,01329;KG;1,07000;91867,00000;202,49280;1306,37630
454066;10139855;COPERCHIO HBAC PP 22M/15F;1448;RIFRATENE PP VERDE KE/2623 2%;0,000271;KG;1,07000;91867,00000;26,72292;26,63867
454067;10139857;COPERCHIO BBAC PP 22M/15F;10066414;PP RF365MO BOREALIS;0,012603;KG;1,07000;32325,00000;438,33023;435,90941
454067;10139857;COPERCHIO BBAC PP 22M/15F;1448;RIFRATENE PP VERDE KE/2623 2%;0,000257;KG;1,07000;32325,00000;8,93918;8,88905
454071;3381;COPERCHIO BARRIER/HYGROBAC S;1421;RIFRASTIR PS VERDE FUME' KE;0,000281;KG;1,08000;103930,00000;27,39887;31,54068
454071;3381;COPERCHIO BARRIER/HYGROBAC S;1210;STYROLUX 656C CRISTALLO;0,009094;KG;1,03000;103930,00000;989,40870;973,49360
454072;4800;COPERCHIO 22F/15M CON CONO;1421;RIFRASTIR PS VERDE FUME' KE;0,000332;KG;1,08000;51351,00000;16,25336;18,41241
454072;4800;COPERCHIO 22F/15M CON CONO;1210;STYROLUX 656C CRISTALLO;0,010725;KG;1,02740;51351,00000;583,17671;565,82974
454074;3007;COPERCHIO NEBULIZZATORE 22F;1438;STYROLUX BATCH EF;0,000145;KG;1,03500;7767,00000;1,18725;1,16563
454074;3007;COPERCHIO NEBULIZZATORE 22F;1210;STYROLUX 656C CRISTALLO;0,009227;KG;1,03440;7767,00000;75,54101;74,13142
454074;3007;COPERCHIO NEBULIZZATORE 22F;1422;RIFRASTIR PS VERDE KE/1530 AT;0,00029;KG;1,03500;7767,00000;2,37450;2,33127
454076;3068;CORPO COBB GIREVOLE;10086274;ERACLENE MP90U;0,003528;KG;1,01500;220591,00000;330,48335;789,91872
454076;3068;CORPO COBB GIREVOLE;10086274;ERACLENE MP90U;0,003528;KG;1,01500;220591,00000;790,24438;789,91872
454076;3068;CORPO COBB GIREVOLE;10091422;ADDITIVANTE ANTI UV SU BASE HDPE;0,000072;KG;1,07740;220591,00000;17,21282;17,11186
454076;3068;CORPO COBB GIREVOLE;10086274;ERACLENE MP90U;0,003528;KG;1,01500;220591,00000;459,76103;789,91872
454078;3382;FONDO BARRIERBAC 'S' 22M/15F;1210;STYROLUX 656C CRISTALLO;0,00815;KG;1,03500;27405,00000;241,15219;231,16803
454078;3382;FONDO BARRIERBAC 'S' 22M/15F;1421;RIFRASTIR PS VERDE FUME' KE;0,000209;KG;1,08000;27405,00000;6,82563;6,18586
454083;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;300007,00000;1299,78592;2392,05781
454083;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;300007,00000;1150,97125;2392,05781
454083;10004101;COPERCHIO BARR.S/HYGR.S IN PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,000159;KG;1,06000;300007,00000;50,70117;50,56318
454083;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;300007,00000;2450,75717;2392,05781
454154;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;308130,00000;586,53420;2456,82525
454154;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;308130,00000;2517,44071;2456,82525
454154;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;308130,00000;1930,90651;2456,82525
454154;10004101;COPERCHIO BARR.S/HYGR.S IN PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,000159;KG;1,06000;308130,00000;52,08072;51,93223
454156;10119343;FONDO STERIVENT MINI;1438;STYROLUX BATCH EF;0,000213;KG;1,03500;79630,00000;17,63784;17,55483
454156;10119343;FONDO STERIVENT MINI;1210;STYROLUX 656C CRISTALLO;0,010444;KG;1,02920;79630,00000;861,76900;855,94007
454157;10119344;COPERCHIO STERIVENT MINI;1438;STYROLUX BATCH EF;0,000162;KG;1,03500;41622,00000;7,06210;6,97876
454157;10119344;COPERCHIO STERIVENT MINI;1210;STYROLUX 656C CRISTALLO;0,007959;KG;1,03480;41622,00000;346,20853;342,79768
454163;3369;FONDO FILTRO STERIVENT MINI;1210;STYROLUX 656C CRISTALLO;0,010386;KG;1,02980;65123,00000;1,06960;696,52323
454163;3369;FONDO FILTRO STERIVENT MINI;1421;RIFRASTIR PS VERDE FUME' KE;0,000256;KG;1,08000;65123,00000;19,35722;18,00521
454163;3369;FONDO FILTRO STERIVENT MINI;1210;STYROLUX 656C CRISTALLO;0,010386;KG;1,02980;65123,00000;696,28095;696,52323
454163;3369;FONDO FILTRO STERIVENT MINI;1210;STYROLUX 656C CRISTALLO;0,010386;KG;1,02980;65123,00000;697,35055;696,52323
454166;10119344;COPERCHIO STERIVENT MINI;1210;STYROLUX 656C CRISTALLO;0,007959;KG;1,03480;38703,00000;321,47747;318,75687
454166;10119344;COPERCHIO STERIVENT MINI;1438;STYROLUX BATCH EF;0,000162;KG;1,03500;38703,00000;6,55695;6,48933
454168;3367;COPERCHIO NUOVO FILTRO PED.;1421;RIFRASTIR PS VERDE FUME' KE;0,000242;KG;1,08000;76559,00000;17,40663;20,00946
454168;3367;COPERCHIO NUOVO FILTRO PED.;1210;STYROLUX 656C CRISTALLO;0,00784;KG;1,03000;76559,00000;421,74460;618,22924
454168;3367;COPERCHIO NUOVO FILTRO PED.;1210;STYROLUX 656C CRISTALLO;0,00784;KG;1,03000;76559,00000;204,04323;618,22924
454168;3367;COPERCHIO NUOVO FILTRO PED.;1210;STYROLUX 656C CRISTALLO;0,00784;KG;1,03000;76559,00000;625,78783;618,22924
454214;3384;FONDO FILTRO PROTEZ. MANOMETRI;1210;STYROLUX 656C CRISTALLO;0,00533;KG;1,03500;5780,00000;32,42927;31,88566
454214;3384;FONDO FILTRO PROTEZ. MANOMETRI;1421;RIFRASTIR PS VERDE FUME' KE;0,000132;KG;1,16020;5780,00000;0,89899;0,88519
454215;3385;COPERCHIO FILTRO PR.MANOMETRI;1210;STYROLUX 656C CRISTALLO;0,004091;KG;1,03500;3690,00000;16,03935;15,62414
454215;3385;COPERCHIO FILTRO PR.MANOMETRI;1421;RIFRASTIR PS VERDE FUME' KE;0,000101;KG;1,16320;3690,00000;0,53923;0,43351
454217;3399;ANCORA SOSTEGNO X CIRC. ADULTI;10086274;ERACLENE MP90U;0,010682;KG;1,01770;5710,00000;5,43550;62,07382
454217;3399;ANCORA SOSTEGNO X CIRC. ADULTI;10086274;ERACLENE MP90U;0,010682;KG;1,01770;5710,00000;56,63791;62,07382
454217;3399;ANCORA SOSTEGNO X CIRC. ADULTI;10091422;ADDITIVANTE ANTI UV SU BASE HDPE;0,000218;KG;1,01770;5710,00000;1,26762;1,26681
454217;3399;ANCORA SOSTEGNO X CIRC. ADULTI;10086274;ERACLENE MP90U;0,010682;KG;1,01770;5710,00000;62,07341;62,07382
454217;3399;ANCORA SOSTEGNO X CIRC. ADULTI;1430;COLORANTE VERDE;0,000214;KG;1,18000;5710,00000;1,44463;1,44189
454223;3279;RAC.3 VIE REBBI PARALL.22M/15F;1063;PVC AM 113 W 106;0,01951;KG;1,04860;13751,00000;283,95738;281,32052
454224;3278;RACC. TRE VIE REBBI PARALLELI;1063;PVC AM 113 W 106;0,01872;KG;1,04900;49919,00000;493,06551;980,27338
454224;3278;RACC. TRE VIE REBBI PARALLELI;1063;PVC AM 113 W 106;0,01872;KG;1,04900;49919,00000;981,92866;980,27338
454224;3278;RACC. TRE VIE REBBI PARALLELI;1063;PVC AM 113 W 106;0,01872;KG;1,04900;49919,00000;488,86315;980,27338
