ordine;part_number;descrizione;lotto;TAG_Stampo;codice_pressa;data_fine
454247;4936;FONDO FILTRO HYGROLIFE II;19K0240FA;TAG 179;SE016;13/11/2019 21:39
454251;3391;C. HYGROSTER,STERIVENT 22F/15M;19K0241FA;TAG 130;SE026;20/11/2019 21:50
454255;4842;VALV.DIGITVENT 14CH TY-CARE AD;19K0242FA;TAG 187;SE014;12/11/2019 21:31
454257;3389;FONDO FILTRO STERIVENT 22M/15F;19K0243FA;TAG 38;SE023;21/11/2019 21:36
454258;3390;FONDO FILTRO HYGROSTER 22M/15F;19K0244FA;TAG 38;SE023;30/10/2019 21:16
454259;3379;FONDO FILTRO HYGROBAC 'S';19K0245FA;TAG 233-D;SE601;18/11/2019 21:52
454266;PT00015828;TAPPO INFERIORE DIGITVENT PP;19K0249FA;TAG 186;SE028;19/11/2019 21:19
454267;PT00015829;COPERCHIO SUPERIORE DIGITVENT PP;19K0250FA;TAG 186;SE028;19/11/2019 21:19
454270;PT00015826;BOCCOLA BLOCC. SACCA X TY-CARE PP;19K0251FA;TAG 196;SE016;20/11/2019 21:46
454277;4545;CORPO MASCHERA ANEST.MEDIUM AD;19K0252FA;TAG 75;SE008;06/11/2019 22:15
454305;10084085;FONDO FILTRO HYGROBAC'S PP;19K0256FA;TAG 117;SE605;11/11/2019 21:53
454306;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19K0257FA;TAG 234;SE607;19/11/2019 21:20
454307;10005252;RACC.'L' 15M-15F/22M CON LUER;19K0258FA;TAG 252;SE013;06/11/2019 22:09
454309;10005251;RACC. 'L' 15M - 15F/22M;19K0259FA;TAG 252;SE013;13/11/2019 21:34
454310;3069;RACC. GIREV. 15F/22M PER COBB;19K0260FA;TAG 210-B;SE012;11/11/2019 21:49
454311;3070;RACCORDO GIREVOLE PER TUBO P;19K0261FA;TAG 210-B;SE012;18/11/2019 21:39
454314;3340;RACC.DIRITTO 22M/15F,22M/VALV.;19K0262FA;TAG 94;SE017;07/11/2019 23:15
454315;3337;RAC.DRITTO 22M/19F,TUBO 'A'15F;19K0263FA;TAG 94;SE017;07/11/2019 23:07
454316;10005250;RACC.DIRITTO 22M/19F,22M/VALV.;19K0264FA;TAG 94;SE017;12/11/2019 22:35
454317;10100775;RACC. DIRITTO 22M/15F BIANCO;19K0265FA;TAG 94;SE017;12/11/2019 22:38
454318;3327;TAPPO 22F;19K0267FA;TAG 94;SE017;19/11/2019 21:18
454319;3331;RACC. DIRITTO 22M/15F TUBO P.;19K0269FA;TAG 94;SE017;19/11/2019 21:16
454320;3336;RACC. DIRITTO 22F,TUBO 'A'/15F;19K0270FA;TAG 94;SE017;18/11/2019 21:43
454321;4465;RACCORDO 22M-15F X TY-CARE;19K0271FA;TAG 173;SE015;11/11/2019 21:41
454322;3305;RACC. DIRITTO 15M T.NEONATALE;19K0272FA;TAG 21;SE012;04/11/2019 22:00
454323;3332;RACCORDO DIRITTO 15M/TUBO P;19K0273FA;TAG 21;SE012;05/11/2019 21:31
454324;3332;RACCORDO DIRITTO 15M/TUBO P;19K0274FA;TAG 21;SE023;18/11/2019 21:41
454325;4838;RACC.22M/15F-22M X URM CAR.LAT;19K0275FA;TAG 175;SE025;19/11/2019 21:31
454328;10119347;COPERCHIO HB'S/BB'S 22F PP;19K0276FA;TAG 58;SE006;13/11/2019 22:10
454329;3351;MEMBRANA TENUTA RACCOGLI COND;19K0277FA;TAG 147;SE018;04/11/2019 21:56
454330;3353;COPERCHIO RACCOGLICOND.TUBO A;19K0278FA;TAG 17;SE018;06/11/2019 22:08
454462;4357;RACCORDO A REBBI PARALLELI X;19K0279FA;TAG 136;SE009;04/11/2019 22:02
454494;10004105;FONDO BARRIERBAC'S 22M/15F PP;19K0282FA;TAG 60;SE007;21/11/2019 21:33
454495;10004105;FONDO BARRIERBAC'S 22M/15F PP;19K0283FA;TAG 121;SE605;27/11/2019 08:47
454496;4456;ADATTATORE MDI PER TY-CARE.48;19K0285FA;TAG 167;SE002;07/11/2019 23:02
454501;3391;C. HYGROSTER,STERIVENT 22F/15M;19K0287FA;TAG 130;SE026;27/11/2019 21:29
454537;10139858;FONDO BBAC PP 22F;19K0289FA;TAG 178;SE017;05/11/2019 21:32
454539;10084085;FONDO FILTRO HYGROBAC'S PP;19K0291FA;TAG 209;SE602;13/11/2019 19:15
454565;3128;CORPO COBB FISSO 22M/15F CON;19K0292FA;TAG 39;SE009;20/11/2019 21:44
454578;4305;CIL.APL GEOM VALVE SENZA SC;19K0293FA;TAG 86;SE003;06/11/2019 22:13
454599;3808;RACC.15M X TUBO TRACHEALE;19K0297FA;TAG 24;SE019;06/11/2019 22:07
454600;3815;RACC.15M X TUBO TRACHEALE D.8;19K0298FA;TAG 24;SE019;11/11/2019 21:44
454601;3419;BOCCOLA RIDUZ.30 M X CONNETT.;19K0299FA;TAG 109;SE020;18/11/2019 21:35
454607;4359;RACCORDO DIRITTO 22M/15F TUBO;19K0301FA;TAG 141;SE011;18/11/2019 21:33
454608;4353;RAC. DISASSATO PER CIRCUITO;19K0302FA;TAG 125;SE009;21/11/2019 21:31
454611;10141370;RACC FLEX 15F X CONN.D.5,0-8;19K0305FA;TAG 10;SE002;18/11/2019 21:38
454612;10141377;RACCORDO FLEX 15F PER TUBO SPIRALATO 'N';19K0306FA;TAG 10;SE002;18/11/2019 21:33
454613;10138831;RACCORDO 15FLEX D.8,0-11.0;19K0307FA;TAG 10;SE002;21/11/2019 21:22
454614;4800;COPERCHIO 22F/15M CON CONO;19K0308FA;TAG 153;SE024;13/11/2019 22:07
454615;3046;RACC FLEX DEHP FREE TUBO A 22F;19K0309FA;TAG 253;SE024;27/11/2019 07:49
454619;3062;DOPPIO TAPPO PER COBB GIREVOLE;19K0310FA;TAG 41;SE003;18/11/2019 21:29
454645;3347;RAC. 22F X TUBO CORRUGATO;19K0318FA;TAG 211-B;SE018;13/11/2019 21:49
454647;3398;ANELLO RACCOGLITUBI ADULTO;19K0320FA;TAG 119;SE019;14/11/2019 21:15
454787;PT00108838;INSERT GUEDEL CANNULA SIZE 3 CM;19K0330FA;TAG 63;SE028;05/11/2019 21:49
454788;PT00108838;INSERT GUEDEL CANNULA SIZE 3 CM;19K0331FA;TAG 63;SE028;05/11/2019 21:52
454789;PT00108838;INSERT GUEDEL CANNULA SIZE 3 CM;19K0332FA;TAG 63;SE028;05/11/2019 21:55
454790;PT00108839;INSERT GUEDEL CANNULA SIZE 4 CM;19K0333FA;TAG 63;SE028;05/11/2019 21:57
454791;PT00108839;INSERT GUEDEL CANNULA SIZE 4 CM;19K0334FA;TAG 63;SE028;05/11/2019 22:00
454792;PT00108839;INSERT GUEDEL CANNULA SIZE 4 CM;19K0335FA;TAG 63;SE028;05/11/2019 22:02
454793;PT00108840;INSERT GUEDEL CANNULA SIZE 6 CM;19K0336FA;TAG 63;SE028;27/11/2019 08:49
454794;PT00108840;INSERT GUEDEL CANNULA SIZE 6 CM;19K0337FA;TAG 63;SE028;27/11/2019 08:49
454795;PT00108840;INSERT GUEDEL CANNULA SIZE 6 CM;19K0338FA;TAG 63;SE028;27/11/2019 08:50
454796;PT00108841;INSERT GUEDEL CANNULA SIZE 11 CM;19K0339FA;TAG 63;SE028;27/11/2019 08:50
454797;PT00108841;INSERT GUEDEL CANNULA SIZE 11 CM;19K0340FA;TAG 63;SE028;27/11/2019 08:51
454798;PT00108841;INSERT GUEDEL CANNULA SIZE 11 CM;19K0341FA;TAG 63;SE028;27/11/2019 08:52
454799;PT00108838;INSERT GUEDEL CANNULA SIZE 3 CM;19K0342FA;TAG 63;SE002;12/12/2019 21:31
454800;PT00108838;INSERT GUEDEL CANNULA SIZE 3 CM;19K0343FA;TAG 63;SE002;12/12/2019 21:33
454801;PT00108838;INSERT GUEDEL CANNULA SIZE 3 CM;19K0344FA;TAG 63;SE002;12/12/2019 21:24
454802;PT00108841;INSERT GUEDEL CANNULA SIZE 11 CM;19K0345FA;TAG 63;SE002;12/12/2019 21:37
454803;PT00108841;INSERT GUEDEL CANNULA SIZE 11 CM;19K0346FA;TAG 63;SE002;12/12/2019 21:39
454804;PT00108841;INSERT GUEDEL CANNULA SIZE 11 CM;19K0347FA;TAG 63;SE002;12/12/2019 21:41
454809;3381;COPERCHIO BARRIER/HYGROBAC S;19K0349FA;TAG 58;SE006;11/11/2019 22:47
454824;4544;CORPO MASCH.AN.LARGE ADULT;19K0350FA;TAG 75;SE008;19/11/2019 21:14
454825;3223;"RACC.DIRITTO PED.TUBO ""P"", 15F";19K0351FA;TAG 3;SE002;06/11/2019 21:28
454832;4810;COPERCHIO FILTRO HYGROLIFE II;19L0001FA;TAG 177;SE016;13/11/2019 22:04
454982;4467;RACCORDO ASSIALE 15M X TY-CARE;19L0013FA;TAG 198-B;SE023;18/11/2019 21:24
454983;3067;TAPPO CHIUSURA CATET.ESTENSIB.;19L0014FA;TAG 89;SE603;19/11/2019 21:24
454985;4465;RACCORDO 22M-15F X TY-CARE;19L0015FA;TAG 173;SE015;13/11/2019 21:49
454986;3380;COP.HYGROBAC/BARRIERBAC'S' 22F;19L0016FA;TAG 58;SE015;20/11/2019 21:47
454987;3068;CORPO COBB GIREVOLE;19L0017FA;TAG 229;SE601;27/11/2019 06:33
454989;3030;CORPO NEBULIZZATORE AD UOVO;19L0018FA;TAG 214;SE011;13/11/2019 21:48
454990;PT00015828;TAPPO INFERIORE DIGITVENT PP;19L0019FA;TAG 186;SE028;03/12/2019 22:16
454991;PT00015829;COPERCHIO SUPERIORE DIGITVENT PP;19L0020FA;TAG 186;SE028;03/12/2019 22:15
454992;3350;OCCLUSORE PER RACCOGLICOND.;19L0021FA;TAG 18;SE028;05/12/2019 21:57
454993;4438;TAPPO PER CORPO DIGITVENT;19L0022FA;TAG 126;SE002;27/11/2019 08:13
454994;3069;RACC. GIREV. 15F/22M PER COBB;19L0023FA;TAG 210-B;SE012;27/11/2019 08:06
454995;3070;RACCORDO GIREVOLE PER TUBO P;19L0024FA;TAG 210-B;SE012;03/12/2019 22:18
454996;10005252;RACC.'L' 15M-15F/22M CON LUER;19L0025FA;TAG 252;SE013;07/11/2019 23:09
454997;4842;VALV.DIGITVENT 14CH TY-CARE AD;19L0026FA;TAG 187;SE014;19/11/2019 21:18
454998;4843;VALV.DIGITVENT 16CH TY-CARE AD;19L0027FA;TAG 187;SE014;10/12/2019 21:21
454999;4841;VALV.DIGITVENT 12CH TY-CARE AD;19L0028FA;TAG 187;SE014;05/12/2019 22:06
455010;3374;COPERCHIO HYGROBOY 22F/15M;19L0029FA;TAG 85;SE005;03/12/2019 22:15
455039;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19L0030FA;TAG 218;ST312;27/11/2019 06:27
455041;3340;RACC.DIRITTO 22M/15F,22M/VALV.;19L0031FA;TAG 94;SE017;20/11/2019 21:43
455044;3850;CORPO TRACHEOLIFE 2;19L0032FA;TAG 219;SE600;25/11/2019 21:59
455045;3850;CORPO TRACHEOLIFE 2;19L0033FA;TAG 219;SE600;05/12/2019 21:48
455049;4201;RACC. A 'L'22M X MASCHERA;19L0034FA;TAG 51;SE016;07/11/2019 23:02
455051;3337;RAC.DRITTO 22M/19F,TUBO 'A'15F;19L0036FA;TAG 94;SE017;27/11/2019 08:35
455052;10084085;FONDO FILTRO HYGROBAC'S PP;19L0037FA;TAG 209;SE602;21/11/2019 04:48
455053;4800;COPERCHIO 22F/15M CON CONO;19L0038FA;TAG 153;SE024;18/11/2019 21:44
455147;3354;COPERCHIO RACCOGLICONDENSA 22M;19L0044FA;TAG 113;SE013;19/11/2019 21:24
455148;10005252;RACC.'L' 15M-15F/22M CON LUER;19L0045FA;TAG 252;SE013;27/11/2019 08:29
455150;10005251;RACC. 'L' 15M - 15F/22M;19L0046FA;TAG 252;SE013;28/11/2019 21:22
455152;3292;RAC.3 VIE REBBI PARALL. T. EXT;19L0047FA;TAG 176-B;SE011;27/11/2019 07:59
455153;3393;ANIMA PORTA BOBINA HYGROSTER;19L0048FA;TAG 65;SE020;27/11/2019 06:43
455154;4304;PORTA MAGNETE APL GEOMETRIC;19L0049FA;TAG 87;SE019;18/11/2019 21:24
455155;10005250;RACC.DIRITTO 22M/19F,22M/VALV.;19L0050FA;TAG 94;SE015;10/12/2019 21:19
455156;3336;RACC. DIRITTO 22F,TUBO 'A'/15F;19L0051FA;TAG 94;SE017;27/11/2019 21:30
455158;4544;CORPO MASCH.AN.LARGE ADULT;19L0052FA;TAG 75;SE008;20/11/2019 21:45
455252;3347;RAC. 22F X TUBO CORRUGATO;19L0059FA;TAG 211-B;SE018;19/11/2019 21:32
455253;10004105;FONDO BARRIERBAC'S 22M/15F PP;19L0060FA;TAG 60;SE007;28/11/2019 21:18
455265;3062;DOPPIO TAPPO PER COBB GIREVOLE;19L0061FA;TAG 41;SE003;27/11/2019 06:42
455269;PT00015827;BOCCOLA SACCA SONDINO TY-CARE PP;19L0062FA;TAG 199;SE016;21/11/2019 21:33
455307;4545;CORPO MASCHERA ANEST.MEDIUM AD;19L0080FA;TAG 75;SE008;03/12/2019 22:14
455316;3381;COPERCHIO BARRIER/HYGROBAC S;19L0081FA;TAG 122;SE006;19/11/2019 21:14
455372;10119241;COPERCHIO LATERALE TRACHEO.III;19L0082FA;TAG 231;SE603;27/11/2019 06:29
455373;PT00078083;COPERC.+PORTA O2 TRACHEO.III;19L0083FA;TAG 231;SE603;28/11/2019 21:21
455424;10119239;CORPO CENTRALE TRACHEOLIFE III;19L0087FA;TAG 230;SE015;27/11/2019 21:31
455425;10119354;RACCORDO 22M/19F-15M;19L0088FA;TAG 94;SE017;27/11/2019 08:12
455429;4800;COPERCHIO 22F/15M CON CONO;19L0089FA;TAG 153;SE024;19/11/2019 21:29
455433;4301;APL GEOM.VALVE 15M SENZA SCAR.;19L0091FA;TAG 91;SE019;27/11/2019 08:23
455434;4302;APL GEOMETRIC VALVE CON SCAR.;19L0092FA;TAG 91;SE019;27/11/2019 08:23
455435;3850;CORPO TRACHEOLIFE 2;19L0093FA;TAG 219;SE600;18/12/2019 18:09
455436;3850;CORPO TRACHEOLIFE 2;19L0094FA;TAG 219;SE600;15/01/2020 22:39
455460;4123;RACCORDO DIRITTO SPIROMETRIA;19L0096FA;TAG 70;SE019;27/11/2019 06:27
455461;10084085;FONDO FILTRO HYGROBAC'S PP;19L0097FA;TAG 209;SE602;29/11/2019 03:55
455462;10084085;FONDO FILTRO HYGROBAC'S PP;19L0098FA;TAG 209;SE602;06/12/2019 16:44
455463;10084085;FONDO FILTRO HYGROBAC'S PP;19L0099FA;TAG 209;SE602;13/12/2019 13:51
455464;4468;TAPPOXCHIUSURA SONDINO TY-CARE;19L0100FA;TAG 45;SE020;02/12/2019 21:49
455465;3065;TAPPO PER COBB FISSO;19L0101FA;TAG 45;SE020;03/12/2019 22:16
455468;4834;RACC.DRITTO 22M/15F-22M X URM;19L0102FA;TAG 175;SE025;20/11/2019 21:47
455469;4833;RACC.22M/15F-22M X URM CAR.LAT;19L0103FA;TAG 175;SE025;21/11/2019 21:26
455470;4835;RACC.DRITTO 22M/15F-22M X URM;19L0104FA;TAG 175;SE025;27/11/2019 08:32
455471;4832;RACC.22M/15F X URM CARICO ALTO;19L0105FA;TAG 175;SE025;27/11/2019 08:05
455472;10139857;COPERCHIO BBAC PP 22M/15F;19L0106FA;TAG 31;SE025;09/12/2019 21:30
455473;10139855;COPERCHIO HBAC PP 22M/15F;19L0107FA;TAG 31;SE025;16/12/2019 21:15
455474;4842;VALV.DIGITVENT 14CH TY-CARE AD;19L0108FA;TAG 187;SE014;27/11/2019 21:27
455485;4842;VALV.DIGITVENT 14CH TY-CARE AD;19L0109FA;TAG 187;SE014;16/12/2019 21:14
455488;10139858;FONDO BBAC PP 22F;19L0110FA;TAG 178;SE017;04/12/2019 22:01
455498;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19L0111FA;TAG 234;SE607;27/11/2019 07:31
455499;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19L0112FA;TAG 234;SE607;02/12/2019 21:41
455500;10139856;FONDO HBAC/BBAC PP 22F/15M;19L0113FA;TAG 178;SE017;12/12/2019 21:14
455524;3367;COPERCHIO NUOVO FILTRO PED.;19L0119FA;TAG 128;SE027;02/12/2019 21:50
455525;10119344;COPERCHIO STERIVENT MINI;19L0120FA;TAG 128;SE027;27/11/2019 08:40
455526;3369;FONDO FILTRO STERIVENT MINI;19L0121FA;TAG 133;SE027;10/12/2019 21:58
455527;10119343;FONDO STERIVENT MINI;19L0122FA;TAG 133;SE027;04/12/2019 22:05
455528;3369;FONDO FILTRO STERIVENT MINI;19L0123FA;TAG 133;SE027;17/12/2019 22:02
455529;3367;COPERCHIO NUOVO FILTRO PED.;19L0124FA;TAG 128;SE026;05/12/2019 21:58
455530;3381;COPERCHIO BARRIER/HYGROBAC S;19L0125FA;TAG 122;SE006;27/11/2019 07:51
455531;3068;CORPO COBB GIREVOLE;19L0126FA;TAG 229;SE601;02/12/2019 21:51
455532;3347;RAC. 22F X TUBO CORRUGATO;19L0127FA;TAG 211-B;SE018;03/12/2019 22:16
455533;4352;RACC.A REBBI PARALLELI 22M,22M;19L0128FA;TAG 136;SE009;27/11/2019 08:09
455536;3285;RACCORDO TIPO Y PER TUBO P;19L0131FA;TAG 9;SE604;27/11/2019 06:27
455537;3290;RACC.Y PED.+PRESA PRESS +TEMP.;19L0132FA;TAG 9;SE604;27/11/2019 06:23
455553;3798;INSERT GUEDEL CANNULA SIZE 8 CM;19L0134FA;TAG 63;SE028;27/11/2019 06:28
455554;3799;INSERT GUEDEL CANNULA SIZE 9 CM;19L0135FA;TAG 63;SE028;27/11/2019 07:21
455572;10004105;FONDO BARRIERBAC'S 22M/15F PP;19L0137FA;TAG 121;SE605;09/12/2019 21:29
455644;3359;CONNETTORE CONO LUER X FILTRI;19L0149FA;TAG 46;SE019;09/12/2019 21:26
455659;3394;FONDO FILTRO STERIVENT;19L0150FA;TAG 38;SE023;27/11/2019 07:51
455660;3390;FONDO FILTRO HYGROSTER 22M/15F;19L0151FA;TAG 38;SE023;02/12/2019 21:42
455661;3388;FONDO FILTRO STERIVENT 'S';19L0152FA;TAG 38;SE023;04/12/2019 22:04
455662;3389;FONDO FILTRO STERIVENT 22M/15F;19L0153FA;TAG 38;SE023;13/12/2019 00:14
455663;4896;RACC.DRITTO AZZURRO 22M-TUBO A;19L0154FA;TAG 94;SE017;27/11/2019 08:04
455664;10141371;RACC 90 FLEX 22F-22F BENNET;19L0155FA;TAG 4;SE002;27/11/2019 06:19
455666;3335;RACCORDO DIRITTO 22F/ TUBO P;19L0157FA;TAG 251;SE009;28/11/2019 21:20
455667;3333;RACCORDO DIRITTO 15F / TUBO P;19L0158FA;TAG 251;SE009;03/12/2019 22:20
